time,temperature_2m,wind_speed_10m,hour,price
2025-01-05 20:00:00,0.6,20.2,20,36.8
2025-01-05 21:00:00,1.0,17.0,21,34.68
2025-01-05 22:00:00,1.5,14.8,22,28.14
2025-01-05 23:00:00,3.3,12.4,23,27.52
2025-01-06 00:00:00,7.2,21.1,0,19.26
2025-01-06 01:00:00,7.0,19.2,1,11.35
2025-01-06 02:00:00,7.5,20.7,2,9.2
2025-01-06 03:00:00,7.8,19.8,3,10.0
2025-01-06 04:00:00,8.3,23.4,4,14.81
2025-01-06 05:00:00,8.5,23.4,5,23.82
2025-01-06 06:00:00,8.4,22.7,6,31.72
2025-01-06 07:00:00,8.1,21.4,7,41.37
2025-01-06 08:00:00,8.2,20.6,8,36.36
2025-01-06 09:00:00,8.9,22.7,9,34.69
2025-01-06 10:00:00,9.2,22.0,10,32.83
2025-01-06 11:00:00,9.7,21.7,11,31.28
2025-01-06 12:00:00,10.2,23.6,12,28.6
2025-01-06 13:00:00,9.9,25.4,13,25.61
2025-01-06 14:00:00,10.6,22.9,14,26.32
2025-01-06 15:00:00,11.1,23.5,15,26.87
2025-01-06 16:00:00,11.1,23.7,16,31.66
2025-01-06 17:00:00,10.8,34.2,17,31.58
2025-01-06 18:00:00,9.1,32.7,18,28.74
2025-01-06 19:00:00,7.1,28.9,19,26.59
2025-01-06 20:00:00,6.4,28.3,20,13.82
2025-01-06 21:00:00,5.6,29.9,21,26.94
2025-01-06 22:00:00,5.2,29.2,22,12.99
2025-01-06 23:00:00,4.9,26.8,23,19.07
2025-01-07 00:00:00,4.7,26.8,0,8.71
2025-01-07 01:00:00,5.0,25.3,1,8.9
2025-01-07 02:00:00,4.8,25.9,2,5.01
2025-01-07 03:00:00,4.4,25.9,3,5.13
2025-01-07 04:00:00,4.0,23.0,4,5.8
2025-01-07 05:00:00,3.7,20.9,5,48.86
2025-01-07 06:00:00,3.5,22.5,6,76.83
2025-01-07 07:00:00,3.6,22.7,7,85.08
2025-01-07 08:00:00,3.2,21.0,8,84.24
2025-01-07 09:00:00,3.4,19.0,9,75.25
2025-01-07 10:00:00,4.2,20.5,10,62.8
2025-01-07 11:00:00,4.6,25.3,11,62.44
2025-01-07 12:00:00,5.0,24.6,12,63.9
2025-01-07 13:00:00,4.4,22.1,13,72.56
2025-01-07 14:00:00,3.8,20.2,14,78.11
2025-01-07 15:00:00,3.4,18.7,15,79.98
2025-01-07 16:00:00,2.7,19.1,16,96.03
2025-01-07 17:00:00,2.1,19.6,17,101.11
2025-01-07 18:00:00,2.1,20.4,18,86.21
2025-01-07 19:00:00,1.8,20.3,19,78.01
2025-01-07 20:00:00,1.5,19.2,20,72.45
2025-01-07 21:00:00,1.4,20.1,21,72.45
2025-01-07 22:00:00,1.4,20.2,22,50.04
2025-01-07 23:00:00,1.1,21.0,23,71.05
2025-01-08 00:00:00,1.2,21.2,0,68.01
2025-01-08 01:00:00,2.2,21.1,1,63.34
2025-01-08 02:00:00,2.0,20.4,2,57.01
2025-01-08 03:00:00,2.0,20.1,3,66.29
2025-01-08 04:00:00,2.1,21.8,4,72.07
2025-01-08 05:00:00,1.6,21.6,5,82.7
2025-01-08 06:00:00,1.4,21.7,6,100.73
2025-01-08 07:00:00,1.3,21.9,7,128.22
2025-01-08 08:00:00,1.4,22.3,8,108.18
2025-01-08 09:00:00,1.9,23.0,9,94.65
2025-01-08 10:00:00,2.9,22.4,10,100.01
2025-01-08 11:00:00,3.5,18.1,11,89.99
2025-01-08 12:00:00,4.0,20.9,12,97.2
2025-01-08 13:00:00,4.4,22.3,13,110.19
2025-01-08 14:00:00,4.1,21.1,14,127.8
2025-01-08 15:00:00,3.6,20.0,15,135.82
2025-01-08 16:00:00,3.6,19.4,16,155.46
2025-01-08 17:00:00,2.8,17.9,17,149.23
2025-01-08 18:00:00,2.3,16.8,18,146.48
2025-01-08 19:00:00,1.6,15.1,19,136.86
2025-01-08 20:00:00,1.3,13.0,20,127.86
2025-01-08 21:00:00,0.8,10.7,21,115.92
2025-01-08 22:00:00,0.7,9.0,22,103.59
2025-01-08 23:00:00,0.8,8.9,23,101.44
2025-01-09 00:00:00,0.9,7.4,0,100.0
2025-01-09 01:00:00,1.1,7.0,1,98.77
2025-01-09 02:00:00,1.0,4.4,2,95.22
2025-01-09 03:00:00,0.7,3.5,3,98.28
2025-01-09 04:00:00,0.5,2.4,4,102.65
2025-01-09 05:00:00,0.7,2.7,5,133.54
2025-01-09 06:00:00,0.2,3.0,6,148.8
2025-01-09 07:00:00,-0.5,2.0,7,164.88
